Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web site: http://nsidc.org/data/nsidc-0081.html
2015,    03,  30,     14.376,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150330_f17_nrt_n.bin
2015,    03,  31,     14.308,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150331_f17_nrt_n.bin
2015,    04,  01,     14.292,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150401_f17_nrt_n.bin
2015,    04,  02,     14.317,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150402_f17_nrt_n.bin
2015,    04,  03,     14.224,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150403_f17_nrt_n.bin
2015,    04,  04,     14.156,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150404_f17_nrt_n.bin
2015,    04,  05,     14.149,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150405_f17_nrt_n.bin
2015,    04,  06,     14.061,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150406_f17_nrt_n.bin
2015,    04,  07,     13.999,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150407_f17_nrt_n.bin
2015,    04,  08,     14.001,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150408_f17_nrt_n.bin
2015,    04,  09,     14.048,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150409_f17_nrt_n.bin
2015,    04,  10,     14.105,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150410_f17_nrt_n.bin
2015,    04,  11,     14.163,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150411_f17_nrt_n.bin
2015,    04,  12,     14.144,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150412_f17_nrt_n.bin
2015,    04,  13,     14.070,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150413_f17_nrt_n.bin
2015,    04,  14,     14.108,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150414_f17_nrt_n.bin
2015,    04,  15,     14.059,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150415_f17_nrt_n.bin
2015,    04,  16,     13.984,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150416_f17_nrt_n.bin
2015,    04,  17,     13.972,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20150417_f17_nrt_n.bin
